# Generated by scripts/import-romance-lexicons.py; do not edit.
# Language-routing membership only: Portuguese (Brazil + Portugal).
# Pinned wooorm/dictionaries commit: 8cfea406b505e4d7df52d5a19bce525df98c54ab.
# Sources: dictionaries/pt/index.dic, dictionaries/pt-PT/index.dic.
# Pronunciation is owned separately by the pinned MFA pronunciation TSV.
# word	community
a	br+pt
a-amilase	br
a-histórico	br
aa	br
aabora	br
aac	br+pt
aachen	pt
aaiún	br
aalborg	pt
aaleniano	br
aaleniense	br
aalense	br
aalênio	br
aaquenense	br
aaquênio	br
aardvark	br
aarhus	pt
aariano	br
aaronita	br
aarão	br
aarônico	br
aarônida	br
ab	br
ab'sáber	br
ab-henry	br
ab-reagir	br
ab-reatividade	br
ab-reativo	br
ab-reação	br+pt
ab-renunciar	br
ab-repto	br
ab-reptício	br
ab-reticiamente	br
ab-rogabilidade	br
ab-rogar	br
ab-rogativo	br
ab-rogatário	br
ab-rogatório	br
ab-rogação	br
ab-rogável	br
ab-rompido	br
ab-ruptado	br
ab-ruptela	br
ab-ruptinérveo	br
ab-rupto	br
ab-ruptude	br
ab-rupção	br
aba	pt
ababa	br
ababadar	br
ababaia	br
ababalhar	br
ababalhos	br
ababalidade	br
ababangai	br
ababelar	br
ababelação	br
ababelável	br
ababil	br
ababocado	br
ababone	br
ababoni	br
ababosar	br
ababosação	br
ababosável	br
ababroar	br
ababuá	br
ababé	br
abacado	br
abacalhoar	br
abacamartado	br
abacanto	br
abacatada	br
abacataia	br
abacatal	br
abacate	br+pt
abacate-do-mato	br
abacateiral	br
abacateiro	br+pt
abacatense	br
abacaterana	br
abacates-do-mato	br
abacatiar	br
abacatina	br
abacatirana	br
abacatuaia	br
abacatuia	br
abacatúxia	br
abacavir	br
abacaxi	br+pt
abacaxi-branco	br
abacaxi-de-tingir	br
abacaxi-silvestre	br
abacaxibirra	br
abacaxicultor	br
abacaxicultura	br
abacaxicultural	br
abacaxiense	br
abacaxis-brancos	br
abacaxis-de-tingir	br
abacaxis-silvestres	br
abacaxizal	br
abacaxizeiro	br
abacaxizinho	br
abacaí	br
abacaíba	br
abace	br
abaceias	br
abacelável	br
abacena	br
abacenino	br
abacense	br
abaceto	br
abachuchu	br
abaci	br
abaciato	br
abacinamento	br
abacinar	br
abacisco	br
abacismo	br
abacomitato	br
abacondado	br
abaconde	br
abacote	br
abactinal	br
abacto	br
abactor	br
abactíneo	br
abactínico	br
abaculu	br
abacur	br
abacutaia	br
abacá	br
abacé	br
abacílio	br
abacístico	br
abacómite	br
abacóptere	br
abacóptero	br
abacômite	br
abadalassa	br
abadar	br
abadavina	br
abade	pt
abade-mg	br
abadecida	br
abadecídio	br
abadengo	br
abadense	br
abadesco	br
abadessar	br
abadessão	br
abadia	pt
abadianense	br
abadiar	br
abadico	br
abadiense	br
abadim	br
abadinense	br
abadiota	br
abadir	br
abadita	br
abadiva	br
abadiânia	br
abadiânia-go	br
abadom	br
abadá	br
abadágio	br
abadão	br
abadô	br
abaetar	br
abaete-mg	br
abaeteense	br
abaetetuba	br
abaetetuba-pa	br
abaetetubense	br
abaetezinhense	br
abaeté	br
abaetê	br
abafadela	br
abafadiço	br
abafadoiro	br
abafadouro	br
abafadura	br
abafante	pt
abafanético	br
abafar	br+pt
abafarete	br
abafativo	br
abafação	br
abafeiro	br
abafo	pt
abafos	br
abafura	br
abafável	br
abagaceirado	br
abaganhar	br
abagaçar	br
abagmento	br
abagos	br
abagualar	br
abagum	br
abaianar	br
abaianável	br
abaiara	br
abaiara-ce	br
abaiarense	br
abaiarino	br
abaibense	br
abairense	br
abairrar	br
abairreirar	br
abaisir	br
abaitinguense	br
abaité	br
abaiucar	br
abaixa-luz	br
abaixa-língua	br
abaixa-pálpebra	br
abaixa-voz	br
abaixadela	br
abaixadura	br
abaixar	pt
abaixação	br
abaixo	pt
abaixo-assinado	br+pt
abaixo-mg	br
abaixável	br
abaiô	br
abajeru	br
abajur	br
abajá	br
abajá-mirim	br
abajás-mirins	br
abajúrdio	br
abal	br
abalada	pt
abaladela	br
abaladiço	br
abaladura	br
abalaiamento	br
abalaiar	br
abalaiação	br
abalancado	br
abalançar	pt
abalar	br+pt
abalaustrar	br
abalaustrável	br
abalaçamento	br
abalaú	br
abaldeamento	br
abaldeirado	br
abaldeiro	br
abaldocar	br
abalhançado	br
abaliedade	br
abalienar	br
abalienatio	br
abalienatu	br
abalienação	br
abalienável	br
abalistar	br
abalizar	br+pt
abalizável	br
abalo	pt
abalofar	br
abalonar	br
abalorecer	br
abalorocer	br
abalos	br
abaloso	br
abalroar	br+pt
abalroável	br
abalseirar	br
abaluaiê	br
abalumar	br
abalável	br
abalçar	br
abalório	br
abalô	br
abama	br
abambalhado	br
abambolinar	br
abambresense	br
abambulacral	br
abambulacrário	br
abambular	br
abambulatório	br
abamectina	br
abampere	br
abampère	br
abampério	br
abana-cauda	br
abana-mosca	br
abanadela	br+pt
abanadura	br+pt
abananado	pt
abananar	br
abanar	br+pt
abanazado	br
abanação	br
abancar	br
abancíade	br
abandalhamento	br
abandalhar	br
abandalhação	br
abandidar	br
abandião	br
abandonar	br+pt
abandonatário	br
abandonação	br
abandono	br+pt
abandonável	br
abaneenga	br
abaneiro	br
abanete	br
abaneu	br
abaneém	br
abanheemo	br
abanheenga	br
abanhenga	br
abanheém	br
abanicar	br
abanico	pt
abanicos	br
abaninho	br
abanito	br
abano	pt
abanoquila	br
abanos	br
abanozinho	br
abanquetar	br
abantesma	br+pt
abanteu	br
abantíade	br
abaná	br
abanão	br+pt
abanés	br
abaorta	br
abapanense	br
abapani	br
abaperidona	br
abaporu	br
abaptisto	br
abaquiar	br
abar	br
abaraíba	br
abarbarar	br
abarbetamento	br
abarbetar	br
abarbetação	br
abarbilhar	br
abarca	pt
abarcadeira	br
abarcadura	br
abarcante	pt
abarcar	br+pt
abarcia	br
abarcável	br
abarebebê	br
abareense	br
abarelecer	br
abarelix	br
abaremotemo	br
abaretado	br
abargantar	br
abarino	br
abaritano	br
abaritonar	br
abaritão	br
abariári	br
abarmão	br
abarognótico	br
abarolecer	br
abaronar	br
abarqueirado	br
abarrada	br
abarrancadeiro	br
abarrancar	br
abarrantar	br
abarraz	br
abarrigar	br
abarrilar	br
abarrilhar	br
abarrocar	br
abarrocação	br
abarrosado	br
abarrotar	pt
abarrotável	br
abarticulamento	br
abarticular	br
abarticulatório	br
abarticulação	br
abartrose	br
abartrósico	br
abartrótico	br
abaruna	br
abaré-ba	br
abaré-guaçu	br
abaré-mirim	br
abaré-tucura	br
abarém	br
abarés-guaçus	br
abarés-mirins	br
abarés-tucura	br
abasbacamento	br
abasbacar	br
abasbacação	br
abasbacável	br
abascado	br
abascante	br
abascanto	br
abases	br
abasgo	br
abasia	br
abasia-astasia	br
abasias-astasias	br
abasicarpo	br
abasilento	br
abasinar	br
abasistasia	br
abasmar	br
abaso	br
abasseno	br
abassi	br
abassino	br
abassor	br
abastança	pt
abastar	br+pt
abastardar	pt
abastasia	br
abastecedoiro	br
abastecedouro	br+pt
abastecer	br+pt
abastecível	br
abastida	br
abastimento	br
abastionar	br
abastonar	br+pt
abastor	br
abastoso	br
abastásico	br
abastância	br
abatacepte	br
abatanado	br
abatarda	br
abatatar	br+pt
abate	pt
abatedoiro	br
abatedomodonte	br
abatedômodon	br
abatelar	br
abater	pt
abati-timbaí	br
abatia-pr	br
abatiaense	br
abatiapé	br
abatigoera	br
abatiguaniba	br
abatiguara	br
abatiguaçu	br
abatiguera	br
abatimirim	br
abatinar	br
abatinguara	br
abatini	br
abatinás	br
abatipó	br
abatirá	br
abatis	br
abatis-timbaí	br
abatisto	br
abatiuí	br
abativi	br
abatixi	br
abatiá	br
abatu	br
abatucado	br
abatufado	br
abatumar	br
abatão	br
abatível	br
abaulagem	br
abaulai	pt
abaulais	pt
abaulamos	pt
abaular	br+pt
abauleis	pt
abaulemos	pt
abaunilhar	br
abavi	br
abaviliano	br
abavúnculo	br
abaxial	br
abaxoide	br
abaz	br
abaçai	br
abaçanar	br
abaçaí	br
abaíbas	br
abaíra	br
abaíra-ba	br
abaís	br
abaúla	pt
abaúlam	pt
abaúlas	pt
abaúle	pt
abaúlem	pt
abaúles	pt
abaúlo	pt
abbatiale	br
abbatissa	br
abbevilliano	br
abc	br+pt
abcazita	br
abcedar	br
abcedente	br
abceder	br
abcedário	br
abcedável	br
abcedência	br
abcesso	br+pt
abcidar	br
abcissa	br+pt
abcisão	br
abciximabe	br
abcári	br
abcázio	br
abda	br
abdal	br
abdala	br
abdali	br
abdalite	br
abdalá	br
abdalári	br
abdalávi	br
abdalão	br
abdar	br
abdeel	br
abdelári	br
abderense	br
abderiano	br
abderitano	br
abderite	br
abderitino	br
abderito	br
abderitídeo	br
abdero	br
abderítico	br
abderítida	br
abderólogo	br
abdeste	br
abdesto	br
abdias	br
abdicacionismo	br
abdicacionístico	br
abdicante	pt
abdicar	br+pt
abdicativo	br+pt
abdicatriz	br
abdicatário	br+pt
abdicatório	br+pt
abdicação	br
abdicável	br
abdiel	br
abdita	br
abditivo	br
abditolarva	br
abditolarvado	br
abditário	br
abditório	br
abdome	br
abdomens	br
abdominado	br
abdominal	br+pt
abdominalgia	br
abdominalis	br
abdominanterior	br
abdominia	br
abdoministerectomia	br
abdoministerectômico	br
abdoministeretomia	br
abdoministerotômico	br
abdominoanterior	br
abdominocentese	br
abdominocentésico	br
abdominocentético	br
abdominociese	br
abdominoescrotal	br
abdominogenital	br
abdominoisterectomia	br
abdominoisterectômico	br
abdominoisteretomia	br
abdominoisteretômico	br
abdominopata	br
abdominopatia	br
abdominopelviano	br
abdominoperineal	br
abdominoplastia	br
abdominoposterior	br
abdominopático	br
abdominoscopia	br
abdominoscrotal	br
abdominoscópico	br
abdominoscópio	br
abdominoso	br
abdominotorácico	br
abdominovaginal	br
abdominovesical	br
abdominuterotomia	br
abdominuterotômico	br
abdominálgico	br
abdominópata	br
abdomínico	br
abdon	br
abdonense	br
abdonita	br
abducente	br+pt
abdude	br
abduluato	br
abdutivo	br+pt
abduto	br
abdutor	br+pt
abduzir	br+pt
abdução	br+pt
abdão	br
abdímia	br
abdómen	pt
abdômen	br
abdômenes	br
abdônio	br
abeatar	br
abeau	br
abeba	br
abeberação	br
abecar	br
abecarnila	br
abecassis	pt
abecedar	br
abecedarianismo	br
abecedariano	br
abecedarianístico	br
abecedas	br
abecedação	br
abecedense	br
abecedário	br+pt
abecedável	br
abecedê	br
abecer	br
abechucho	br
abechudo	br
abecoinha	br
abectúrio	br
abecásia	br
abecê	br
abedal	br
abedale	br
abedalite	br
abedalári	br
abedalávi	br
abedarita	br
abednego	br
abedo	br
abedária	br
abedê	br
abegetório	br
abegiato	br
abegoa	br
abegoaria	br
abeguar	br
abegão	br
abeijarudo	br
abeirar	br+pt
abeirão	br
abeixamim	br
abeiçar	pt
abel	br+pt
abel-figuereidense	br
abela	br
abelano	br
abelardense	br
abelardo	br
abelardo-luzense	br
abeleirar	br
abelense	br
abelere	br
abelgar	br
abelha	br+pt
abelha-africana	br
abelha-alemã	br
abelha-amarela	br
abelha-bota-fogo	br
abelha-brava	br
abelha-cachorro	br
abelha-caga-fogo	br
abelha-campeadora	br
abelha-caucasiana	br
abelha-comum	br
abelha-criança	br
abelha-da-europa	br
abelha-da-terra	br
abelha-de-cachorro	br
abelha-de-chão	br
abelha-de-cupim	br
abelha-de-fogo	br
abelha-de-mel	br
abelha-de-ouro	br
abelha-de-pau	br
abelha-de-purga	br
abelha-de-reino	br
abelha-de-sapo	br
abelha-do-chão	br
abelha-do-pau	br
abelha-do-reino	br
abelha-doméstica	br
abelha-escura	br
abelha-europa	br
abelha-europeia	br
abelha-flor	br
abelha-indígena	br
abelha-irapuá	br
abelha-irapuã	br
abelha-italiana	br
abelha-italiana-amarela	br
abelha-limão	br
abelha-macho	br
abelha-mestra	br+pt
abelha-mirim	br
abelha-mosquito	br
abelha-mosquitos	br
abelha-mulata	br
abelha-mãe	br
abelha-neutra	br
abelha-obreira	br
abelha-operária	br
abelha-ouro	br
abelha-papa-terra	br
abelha-preta	br
abelha-rainha	br
abelha-sanharó	br
abelha-sem-ferrão	br
abelha-uruçu	br
abelhal	br
abelhamirim	br
abelhar	br
abelharuco	br
abelhas-africanas	br
abelhas-alemãs	br
abelhas-amarelas	br
abelhas-bota-fogo	br
abelhas-bravas	br
abelhas-cachorro	br
abelhas-caga-fogo	br
abelhas-campeadoras	br
abelhas-caucasianas	br
abelhas-comuns	br
abelhas-criança	br
