# Generated by scripts/import-romance-lexicons.py; do not edit.
# Lexical pronunciation authority: Montreal Forced Aligner Portuguese dictionaries.
# Pinned mfa-models commit: d6eff86a42c6a90b641e17dfdf7a16555b934483.
# Sources: dictionary/portuguese/brazil_mfa/portuguese_brazil_mfa.dict, dictionary/portuguese/portugal_mfa/portuguese_portugal_mfa.dict.
# Source MFA phones are retained verbatim after NFC normalization.
# word	dialect-membership	mfa-phones
a	brazil+portugal	a
a	portugal	ɐ
aa	portugal	ɐ
aaaah	portugal	a
aacceitar	portugal	ɐ s ɐ j t a ɾ
aantes	brazil	ɐ̃ tʃ i s
aantes	portugal	ɐ ɐ̃ t ɨ ʃ
aaqucnlar	portugal	a k s l a ɾ
aaron	brazil	a a ɾ õ
aaron	portugal	a ɾ õ
aarão	brazil	a a ɾ ɐ̃ w̃
aarão	brazil	a ɾ ɐ̃ w̃
aarão	portugal	ɐ ɾ ɐ̃ w̃
aasento	portugal	ɐ z ẽ t u
aaul	portugal	ɐ u l
aba	brazil	a b a
aba	portugal	a β ɐ
abacate	brazil	a b a k a t e
abacate	brazil	a b a k a t i
abacate	brazil	a b a k a tʃ i
abacate	portugal	ɐ β ɐ k a t ɨ
abacateiro	brazil	a b a k a t e j ɾ o
abacateiro	brazil	a b a k a t e j ɾ u
abacateiro	portugal	ɐ b a k ɐ t ɐ j ɾ u
abacateiros	portugal	ɐ b a k ɐ t ɐ j ɾ u ʃ
abacates	portugal	ɐ β ɐ k a t ɨ ʃ
abacaxi	brazil	a b a k a ʃ i
abacaxi	brazil	ɐ b a k ɐ ʃ i
abacaxi	portugal	ɐ b ɐ k ɐ ʃ i
abacaxis	portugal	ɐ b ɐ k ɐ ʃ i ʃ
abacaxizeiro	brazil	a b a k a ʃ i z e j ɾ o
abacaxizeiro	brazil	a b a k a ʃ i z e j ɾ u
abacaxizeiro	portugal	ɐ b ɐ k ɐ ʃ i z ɐ j ɾ u
abacharelado	brazil	ɐ b ɐ ʃ a ɾ e l a d u
abacial	portugal	ɐ b ɐ s i a l
abacista	brazil	a b a s i s t a
abacista	brazil	a b a s i s t ɐ
abacista	brazil	a b a s i ʃ t ɐ
abacista	portugal	ɐ b a s i ʃ t ɐ
abactor	portugal	ɐ b ɐ k t o ɾ
abadados	portugal	ɐ b a d a ð u ʃ
abadan	brazil	a b a d ɐ̃
abade	brazil	a b a dʒ i
abade	portugal	ɐ b a d ɨ
abades	portugal	ɐ b a d ɨ ʃ
abadesa	brazil+portugal	a b a d e z a
abadessa	brazil	a b a d e s a
abadessa	brazil	a b a d e s ɐ
abadessa	portugal	a b ɐ d e s ɐ
abadia	brazil	a b a dʒ i a
abadia	brazil	a b a dʒ i ɐ
abadia	portugal	ɐ b ɐ d i ɐ
abadiânia	brazil	a b a dʒ i ɐ ɲ ɐ
abadiânia	portugal	ɐ b ɐ d i ɐ n j ɐ
abaetetuba	brazil	a b a e t e t u b ɐ
abaetetuba	portugal	ɐ b ɐ i t ɛ t u β ɐ
abaeté	brazil	a b a e t ɛ
abaeté	portugal	ɐ b ɐ i t ɛ
abafa	portugal	ɐ b ɐ f ɐ
abafada	brazil	a b a f a d a
abafada	portugal	ɐ b ɐ f a d ɐ
abafadamente	brazil	a b a f a d a m ẽ t e
abafadamente	brazil	a b a f a d a m ẽ tʃ i
abafadamente	portugal	ɐ b ɐ f a d ɐ m ẽ t ɨ
abafadas	portugal	ɐ b ɐ f a d ɐ ʃ
abafadiço	portugal	ɐ b ɐ f ɐ d i s u
abafado	brazil	a b a f a d o
abafado	brazil	a b a f a d u
abafado	portugal	ɐ b ɐ f a d u
abafador	brazil	a b a f a d o x
abafador	portugal	ɐ b ɐ f ɐ d o ɾ
abafados	portugal	ɐ b ɐ f a ð u ʃ
abafam	portugal	ɐ b ɐ f ɐ̃ w̃
abafamento	portugal	ɐ b ɐ f ɐ m ẽ t u
abafando	portugal	ɐ b ɐ f ɐ̃ d u
abafar	portugal	ɐ b ɐ f a ɾ
abafara	portugal	ɐ b ɐ f a ɾ ɐ
abafaria	brazil	a b a f a ɾ i ɐ
abafas	portugal	ɐ b ɐ f ɐ ʃ
abafava	portugal	ɐ b ɐ f a v ɐ
abafavam	portugal	ɐ b ɐ f a v ɐ̃ w̃
abafavas	portugal	ɐ b ɐ f a v ɐ ʃ
abafação	brazil	a b a f a s ɐ̃ w̃
abafação	portugal	ɐ b ɐ f ɐ s ɐ̃ w̃
abafou	portugal	ɐ b ɐ f o w
abaftados	portugal	ɐ b ɐ f t a ð u ʃ
abafteceu	portugal	ɐ b ɐ f t ɨ s e w
abaiara	brazil	a b a j a ɾ ɐ
abaiara	portugal	ɐ b a j a ɾ ɐ
abainhar	portugal	ɐ b ɐ i ɲ a ɾ
abaixa	brazil	a b a j ʃ ɐ
abaixa	portugal	ɐ b a j ʃ ɐ
abaixado	brazil	a b a j ʃ a d u
abaixado	portugal	ɐ b a j ʃ a ð u
abaixamento	portugal	ɐ b a j ʃ ɐ m ẽ t u
abaixando	portugal	ɐ b a j ʃ ɐ̃ d u
abaixar	portugal	ɐ b ɐ j ʃ a ɾ
abaixaram	portugal	ɐ b ɐ j ʃ a ɾ ɐ̃ w̃
abaixaria	portugal	ɐ b a j ʃ ɐ ɾ i ɐ
abaixava	portugal	ɐ b ɐ j ʃ a v ɐ
abaixavam	portugal	ɐ b ɐ j ʃ a v ɐ̃ w̃
abaixe	brazil	a b a j ʃ i
abaixe	portugal	ɐ b a j ʃ i
abaixei	brazil	a b a j ʃ e j
abaixei	portugal	ɐ b a j ʃ e j
abaixo	brazil	a b a j ʃ o
abaixo	brazil	a b a j ʃ u
abaixo	portugal	ɐ b a j ʃ u
abaixou	portugal	ɐ b a j ʃ o w
abala	portugal	ɐ b ɐ l a
abalada	brazil	a b a l a d ɐ
abalada	portugal	ɐ b ɐ l a ð ɐ
abalado	brazil	a b a l a d u
abalado	portugal	ɐ b ɐ l a d u
abalador	portugal	ɐ b ɐ l a d o ɾ
abalados	portugal	ɐ b ɐ l a ð u ʃ
abalam	portugal	ɐ b ɐ l ɐ̃
abalance	portugal	ɐ b ɐ l ɐ̃ s ɨ
abalando	portugal	ɐ b ɐ l ɐ̃ d u
abalança	portugal	ɐ b ɐ l ɐ̃ s ɐ
abalançam	portugal	ɐ b ɐ l ɐ̃ s ɐ̃ w̃
abalançarei	portugal	ɐ b ɐ l ɐ̃ s ɐ ɾ ɐ j
abalançaremos	portugal	ɐ b ɐ l ɐ̃ s a ɾ e m u ʃ
abalançaria	portugal	ɐ b ɐ l ɐ̃ s ɐ ɾ i ɐ
abalançasse	portugal	ɐ b ɐ l ɐ̃ s a s ɨ
abalançava	portugal	ɐ b ɐ l ɐ̃ s a v ɐ
abalanço	portugal	ɐ b ɐ l ɐ̃ s u
abalar	brazil	a b a l a x
